stimulus,corrAns,file,condition,block,stdRT_trials.thisRepN,stdRT_trials.thisTrialN,stdRT_trials.thisN,stdRT_trials.thisIndex,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,experiment_trials.thisRepN,experiment_trials.thisTrialN,experiment_trials.thisN,experiment_trials.thisIndex,std_instructions.started,std_instructions.stopped,continue1.keys,continue1.rt,continue1.started,continue1.stopped,key_resp_stdRT.keys,key_resp_stdRT.rt,key_resp_stdRT.started,key_resp_stdRT.stopped,text.started,text.stopped,task_instructions.started,task_instructions.stopped,continue2.keys,continue2.rt,continue2.started,continue2.stopped,practice_block.started,practice_block.stopped,continue3.keys,continue3.rt,continue3.started,continue3.stopped,trial_instructions_practice.started,trial_instructions_practice.stopped,key_resp_practice.keys,key_resp_practice.corr,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,image_practice.started,image_practice.stopped,experiment_block.started,experiment_block.stopped,continue4.keys,continue4.rt,continue4.started,continue4.stopped,trial_instructions.started,trial_instructions.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,image.started,image.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,11.050847899998189,None,space,1.258717799995793,11.050847899998189,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jun_16_1022,EventTask,2021.1.4,None,
Press the 'no' key.,n,,,,0,0,0,1,,,,,,,,,,,,,,,n,0.9613796000048751,12.401386300000013,None,12.401386300000013,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jun_16_1022,EventTask,2021.1.4,None,
Press the 'yes' key.,c,,,,0,1,1,0,,,,,,,,,,,,,,,c,0.4632036999973934,13.401370399995358,None,13.401370399995358,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jun_16_1022,EventTask,2021.1.4,None,
Press the 'no' key.,n,,,,1,0,2,1,,,,,,,,,,,,,,,n,0.22090330000355607,13.906693999997515,None,13.906693999997515,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jun_16_1022,EventTask,2021.1.4,None,
Press the 'yes' key.,c,,,,1,1,3,0,,,,,,,,,,,,,,,c,0.2934010000026319,14.167629299998225,None,14.167629299998225,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jun_16_1022,EventTask,2021.1.4,None,
Press the 'yes' key.,c,,,,2,0,4,0,,,,,,,,,,,,,,,n,0.2799049000022933,14.501210399997944,None,14.501210399997944,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jun_16_1022,EventTask,2021.1.4,None,
Press the 'no' key.,n,,,,2,1,5,1,,,,,,,,,,,,,,,n,0.8501219999961904,14.817859099995985,None,14.817859099995985,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jun_16_1022,EventTask,2021.1.4,None,
Press the 'yes' key.,c,,,,3,0,6,0,,,,,,,,,,,,,,,c,0.35658889999467647,15.70066969999607,None,15.70066969999607,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jun_16_1022,EventTask,2021.1.4,None,
Press the 'no' key.,n,,,,3,1,7,1,,,,,,,,,,,,,,,n,0.3445685000042431,16.120068899996113,None,16.120068899996113,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jun_16_1022,EventTask,2021.1.4,None,
Press the 'no' key.,n,,,,4,0,8,1,,,,,,,,,,,,,,,n,0.42543100000330014,16.517718199997034,None,16.517718199997034,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jun_16_1022,EventTask,2021.1.4,None,
Press the 'yes' key.,c,,,,4,1,9,0,,,,,,,,,,,,,,,c,0.40470970000023954,16.984049999999115,None,16.984049999999115,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jun_16_1022,EventTask,2021.1.4,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.434931899995718,None,space,0.6597842000046512,17.434931899995718,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jun_16_1022,EventTask,2021.1.4,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.134705399999802,None,space,0.67065939999884,18.134705399999802,None,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jun_16_1022,EventTask,2021.1.4,None,
family cooking.jpg,c,practice_images/family cooking.jpg,plausible,practice,,,,,0,0,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.88312429999496,None,c,1,1.351041299996723,18.88312429999496,None,18.88312429999496,None,,,,,,,,,,,,,,,,,001,2021_Jun_16_1022,EventTask,2021.1.4,None,
throwing noodles.jpg,n,practice_images/throwing noodles.jpg,implausible,practice,,,,,0,1,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.26773979999416,None,c,0,0.5975931999928434,20.26773979999416,None,20.26773979999416,None,,,,,,,,,,,,,,,,,001,2021_Jun_16_1022,EventTask,2021.1.4,None,
woman vacuuming grass.jpg,n,practice_images/woman vacuuming grass.jpg,implausible,practice,,,,,0,2,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.930883399996674,None,n,1,1.0456944999968982,20.930883399996674,None,20.930883399996674,None,,,,,,,,,,,,,,,,,001,2021_Jun_16_1022,EventTask,2021.1.4,None,
underwater skateboard.jpg,n,practice_images/underwater skateboard.jpg,implausible,practice,,,,,0,3,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.015897999997833,None,n,1,0.8239863999988302,22.015897999997833,None,22.015897999997833,None,,,,,,,,,,,,,,,,,001,2021_Jun_16_1022,EventTask,2021.1.4,None,
man running.jpg,c,practice_images/man running.jpg,plausible,practice,,,,,0,4,4,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.9179995999948,None,c,1,0.7035045000011451,22.9179995999948,None,22.9179995999948,None,,,,,,,,,,,,,,,,,001,2021_Jun_16_1022,EventTask,2021.1.4,None,
dog pilot.jpg,n,practice_images/dog pilot.jpg,implausible,practice,,,,,0,5,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.668042299999797,None,n,1,0.7372906999953557,23.668042299999797,None,23.668042299999797,None,,,,,,,,,,,,,,,,,001,2021_Jun_16_1022,EventTask,2021.1.4,None,
mowing the lawn.jpg,c,practice_images/mowing the lawn.jpg,plausible,practice,,,,,0,6,6,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.451915499994357,None,c,1,1.1921555000008084,24.451915499994357,None,24.451915499994357,None,,,,,,,,,,,,,,,,,001,2021_Jun_16_1022,EventTask,2021.1.4,None,
looking at xray.jpg,c,practice_images/looking at xray.jpg,plausible,practice,,,,,0,7,7,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.683752579994326,None,None,0,,25.683752579994326,None,25.683752579994326,None,,,,,,,,,,,,,,,,,001,2021_Jun_16_1022,EventTask,2021.1.4,None,
man with paper in mouth.jpg,n,practice_images/man with paper in mouth.jpg,implausible,practice,,,,,0,8,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.700368519994665,None,None,0,,25.700368519994665,None,25.700368519994665,None,,,,,,,,,,,,,,,,,001,2021_Jun_16_1022,EventTask,2021.1.4,None,
parking lot.jpg,c,practice_images/parking lot.jpg,plausible,practice,,,,,0,9,9,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.716984459995,None,None,0,,25.716984459995,None,25.716984459995,None,,,,,,,,,,,,,,,,,001,2021_Jun_16_1022,EventTask,2021.1.4,None,
buisness man working.jpg,c,practice_images/buisness man working.jpg,plausible,practice,,,,,0,10,10,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.716984459995,None,None,0,,25.716984459995,None,25.716984459995,None,,,,,,,,,,,,,,,,,001,2021_Jun_16_1022,EventTask,2021.1.4,None,
kids playing.jpg,c,practice_images/kids playing.jpg,plausible,practice,,,,,0,11,11,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.73360039999534,None,None,0,,25.73360039999534,None,25.73360039999534,None,,,,,,,,,,,,,,,,,001,2021_Jun_16_1022,EventTask,2021.1.4,None,
sawing apple.jpg,n,practice_images/sawing apple.jpg,implausible,practice,,,,,0,12,12,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.750216339995678,None,None,0,,25.750216339995678,None,25.750216339995678,None,,,,,,,,,,,,,,,,,001,2021_Jun_16_1022,EventTask,2021.1.4,None,
