stimulus,corrAns,file,condition,block,stdRT_trials.thisRepN,stdRT_trials.thisTrialN,stdRT_trials.thisN,stdRT_trials.thisIndex,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,std_instructions.started,std_instructions.stopped,continue1.keys,continue1.rt,continue1.started,continue1.stopped,key_resp_stdRT.keys,key_resp_stdRT.rt,key_resp_stdRT.started,key_resp_stdRT.stopped,text.started,text.stopped,task_instructions.started,task_instructions.stopped,continue2.keys,continue2.rt,continue2.started,continue2.stopped,practice_block.started,practice_block.stopped,continue3.keys,continue3.rt,continue3.started,continue3.stopped,trial_instructions_practice.started,trial_instructions_practice.stopped,key_resp_practice.keys,key_resp_practice.corr,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,image_practice.started,image_practice.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,10.612806199998886,None,space,1.576047299997299,10.612806199998886,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jun_16_1032,EventTask,2021.1.4,None,
Press the 'yes' key.,c,,,,0,0,0,0,,,,,,,,,,,c,0.6810072000007494,12.279502299999876,None,12.279502299999876,None,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jun_16_1032,EventTask,2021.1.4,None,
Press the 'no' key.,n,,,,0,1,1,1,,,,,,,,,,,n,0.30665589999989606,12.996962999997777,None,12.996962999997777,None,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jun_16_1032,EventTask,2021.1.4,None,
Press the 'no' key.,n,,,,1,0,2,1,,,,,,,,,,,c,0.2730260000025737,13.348321400000714,None,13.348321400000714,None,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jun_16_1032,EventTask,2021.1.4,None,
Press the 'yes' key.,c,,,,1,1,3,0,,,,,,,,,,,c,0.6079981999937445,13.683906099999149,None,13.683906099999149,None,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jun_16_1032,EventTask,2021.1.4,None,
Press the 'no' key.,n,,,,2,0,4,1,,,,,,,,,,,n,0.4199503000054392,14.328548899997259,None,14.328548899997259,None,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jun_16_1032,EventTask,2021.1.4,None,
Press the 'yes' key.,c,,,,2,1,5,0,,,,,,,,,,,c,0.4769302000058815,14.796557399997255,None,14.796557399997255,None,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jun_16_1032,EventTask,2021.1.4,None,
Press the 'no' key.,n,,,,3,0,6,1,,,,,,,,,,,n,0.3604953999965801,15.312712899998587,None,15.312712899998587,None,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jun_16_1032,EventTask,2021.1.4,None,
Press the 'yes' key.,c,,,,3,1,7,0,,,,,,,,,,,c,0.5113048000057461,15.727587599998515,None,15.727587599998515,None,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jun_16_1032,EventTask,2021.1.4,None,
Press the 'no' key.,n,,,,4,0,8,1,,,,,,,,,,,n,0.33850209999945946,16.299887000001036,None,16.299887000001036,None,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jun_16_1032,EventTask,2021.1.4,None,
Press the 'yes' key.,c,,,,4,1,9,0,,,,,,,,,,,c,0.47525560000212863,16.69644149999658,None,16.69644149999658,None,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jun_16_1032,EventTask,2021.1.4,None,
,,,,,,,,,,,,,,,,,,,,,,,,,17.21606199999951,None,space,3.160020199997234,19.180883599998197,None,,,,,,,,,,,,,,,,,001,2021_Jun_16_1032,EventTask,2021.1.4,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.38027929999953,None,space,1.0800253999987035,22.38027929999953,None,,,,,,,,,,,001,2021_Jun_16_1032,EventTask,2021.1.4,None,
girl and woman_patio.jpg,c,practice_images/girl and woman_patio.jpg,plausible,practice,,,,,0,0,0,11,,,,,,,,,,,,,,,,,,,,,,,,,23.546199600001273,None,c,1,1.7759475999991992,23.546199600001273,None,23.546199600001273,None,,001,2021_Jun_16_1032,EventTask,2021.1.4,None,
man running.jpg,c,practice_images/man running.jpg,plausible,practice,,,,,0,1,1,18,,,,,,,,,,,,,,,,,,,,,,,,,25.377528500001063,None,c,1,0.6074382000006153,25.377528500001063,None,25.377528500001063,None,,001,2021_Jun_16_1032,EventTask,2021.1.4,None,
buisness man working.jpg,c,practice_images/buisness man working.jpg,plausible,practice,,,,,0,2,2,12,,,,,,,,,,,,,,,,,,,,,,,,,26.06048490000103,None,c,1,1.4606371999980183,26.06048490000103,None,26.06048490000103,None,,001,2021_Jun_16_1032,EventTask,2021.1.4,None,
boxer training.jpg,c,practice_images/boxer training.jpg,plausible,practice,,,,,0,3,3,10,,,,,,,,,,,,,,,,,,,,,,,,,27.57977060000121,None,c,1,0.6925475000025472,27.57977060000121,None,27.57977060000121,None,,001,2021_Jun_16_1032,EventTask,2021.1.4,None,
kids playing.jpg,c,practice_images/kids playing.jpg,plausible,practice,,,,,0,4,4,16,,,,,,,,,,,,,,,,,,,,,,,,,28.34635459999845,None,c,1,0.7814805000016349,28.34635459999845,None,28.34635459999845,None,,001,2021_Jun_16_1032,EventTask,2021.1.4,None,
sawing apple.jpg,n,practice_images/sawing apple.jpg,implausible,practice,,,,,0,5,5,2,,,,,,,,,,,,,,,,,,,,,,,,,29.16180133332867,None,None,0,,29.16180133332867,None,29.16180133332867,None,,001,2021_Jun_16_1032,EventTask,2021.1.4,None,
looking at xray.jpg,c,practice_images/looking at xray.jpg,plausible,practice,,,,,0,6,6,17,,,,,,,,,,,,,,,,,,,,,,,,,29.178467999995338,None,None,0,,29.178467999995338,None,29.178467999995338,None,,001,2021_Jun_16_1032,EventTask,2021.1.4,None,
dog pilot.jpg,n,practice_images/dog pilot.jpg,implausible,practice,,,,,0,7,7,3,,,,,,,,,,,,,,,,,,,,,,,,,29.195134666662003,None,None,0,,29.195134666662003,None,29.195134666662003,None,,001,2021_Jun_16_1032,EventTask,2021.1.4,None,
mowing the lawn.jpg,c,practice_images/mowing the lawn.jpg,plausible,practice,,,,,0,8,8,19,,,,,,,,,,,,,,,,,,,,,,,,,29.195134666662003,None,None,0,,29.195134666662003,None,29.195134666662003,None,,001,2021_Jun_16_1032,EventTask,2021.1.4,None,
boss bably.jpg,n,practice_images/boss baby.jpg,implausible,practice,,,,,0,9,9,6,,,,,,,,,,,,,,,,,,,,,,,,,29.21180133332867,None,None,0,,29.21180133332867,None,29.21180133332867,None,,001,2021_Jun_16_1032,EventTask,2021.1.4,None,
man with paper in mouth.jpg,n,practice_images/man with paper in mouth.jpg,implausible,practice,,,,,0,10,10,4,,,,,,,,,,,,,,,,,,,,,,,,,29.21180133332867,None,None,0,,29.21180133332867,None,29.21180133332867,None,,001,2021_Jun_16_1032,EventTask,2021.1.4,None,
balancing on umbrella.jpg,n,practice_images/balancing on umbrella.jpg,implausible,practice,,,,,0,11,11,0,,,,,,,,,,,,,,,,,,,,,,,,,29.228467999995335,None,None,0,,29.228467999995335,None,29.228467999995335,None,,001,2021_Jun_16_1032,EventTask,2021.1.4,None,
family cooking.jpg,c,practice_images/family cooking.jpg,plausible,practice,,,,,0,12,12,15,,,,,,,,,,,,,,,,,,,,,,,,,29.228467999995335,None,None,0,,29.228467999995335,None,29.228467999995335,None,,001,2021_Jun_16_1032,EventTask,2021.1.4,None,
bikini woman gun.jpg,n,practice_images/bikini woman gun.jpg,implausible,practice,,,,,0,13,13,1,,,,,,,,,,,,,,,,,,,,,,,,,29.228467999995335,None,None,0,,29.228467999995335,None,29.228467999995335,None,,001,2021_Jun_16_1032,EventTask,2021.1.4,None,
underwater skateboard.jpg,n,practice_images/underwater skateboard.jpg,implausible,practice,,,,,0,14,14,7,,,,,,,,,,,,,,,,,,,,,,,,,29.245134666662004,None,None,0,,29.245134666662004,None,29.245134666662004,None,,001,2021_Jun_16_1032,EventTask,2021.1.4,None,
dog playing.jpg,c,practice_images/dog playing.jpg,plausible,practice,,,,,0,15,15,13,,,,,,,,,,,,,,,,,,,,,,,,,29.26180133332867,None,None,0,,29.26180133332867,None,29.26180133332867,None,,001,2021_Jun_16_1032,EventTask,2021.1.4,None,
throwing noodles.jpg,n,practice_images/throwing noodles.jpg,implausible,practice,,,,,0,16,16,5,,,,,,,,,,,,,,,,,,,,,,,,,29.26180133332867,None,None,0,,29.26180133332867,None,29.26180133332867,None,,001,2021_Jun_16_1032,EventTask,2021.1.4,None,
parking lot.jpg,c,practice_images/parking lot.jpg,plausible,practice,,,,,0,17,17,14,,,,,,,,,,,,,,,,,,,,,,,,,29.278467999995335,None,None,0,,29.278467999995335,None,29.278467999995335,None,,001,2021_Jun_16_1032,EventTask,2021.1.4,None,
woman vacuuming grass.jpg,n,practice_images/woman vacuuming grass.jpg,implausible,practice,,,,,0,18,18,9,,,,,,,,,,,,,,,,,,,,,,,,,29.278467999995335,None,None,0,,29.278467999995335,None,29.278467999995335,None,,001,2021_Jun_16_1032,EventTask,2021.1.4,None,
giant coffee.jpg,n,practice_images/giant coffee.jpg,implausible,practice,,,,,0,19,19,8,,,,,,,,,,,,,,,,,,,,,,,,,29.278467999995335,None,None,0,,29.278467999995335,None,29.278467999995335,None,,001,2021_Jun_16_1032,EventTask,2021.1.4,None,
