stimulus,corrAns,file,condition,block,stdRT_trials.thisRepN,stdRT_trials.thisTrialN,stdRT_trials.thisN,stdRT_trials.thisIndex,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,experiment_trials.thisRepN,experiment_trials.thisTrialN,experiment_trials.thisN,experiment_trials.thisIndex,breakloop.thisRepN,breakloop.thisTrialN,breakloop.thisN,breakloop.thisIndex,std_instructions.started,std_instructions.stopped,continue1.keys,continue1.rt,continue1.started,continue1.stopped,key_resp_stdRT.keys,key_resp_stdRT.rt,key_resp_stdRT.started,key_resp_stdRT.stopped,text.started,text.stopped,task_instructions.started,task_instructions.stopped,continue2.keys,continue2.rt,continue2.started,continue2.stopped,practice_block.started,practice_block.stopped,continue3.keys,continue3.rt,continue3.started,continue3.stopped,trial_instructions_practice.started,trial_instructions_practice.stopped,key_resp_practice.keys,key_resp_practice.corr,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,image_practice.started,image_practice.stopped,experiment_block.started,experiment_block.stopped,continue4.keys,continue4.rt,continue4.started,continue4.stopped,trial_instructions.started,trial_instructions.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,image.started,image.stopped,breakimage.started,breakimage.stopped,continutebreak.keys,continutebreak.rt,continutebreak.started,continutebreak.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,10.563161700003548,None,space,1.0374188999994658,10.563161700003548,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jun_16_1034,EventTask,2021.1.4,None,
Press the 'yes' key.,c,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,c,0.6541722000038135,11.677290300001914,None,11.677290300001914,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jun_16_1034,EventTask,2021.1.4,None,
Press the 'no' key.,n,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,n,0.4637386999966111,12.37974160000158,None,12.37974160000158,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jun_16_1034,EventTask,2021.1.4,None,
Press the 'yes' key.,c,,,,1,0,2,0,,,,,,,,,,,,,,,,,,,c,0.4824875999984215,12.895131900004344,None,12.895131900004344,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jun_16_1034,EventTask,2021.1.4,None,
Press the 'no' key.,n,,,,1,1,3,1,,,,,,,,,,,,,,,,,,,n,0.45993790000648005,13.4131686000037,None,13.4131686000037,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jun_16_1034,EventTask,2021.1.4,None,
Press the 'yes' key.,c,,,,2,0,4,0,,,,,,,,,,,,,,,,,,,c,0.35926979999931064,13.927306300000055,None,13.927306300000055,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jun_16_1034,EventTask,2021.1.4,None,
Press the 'no' key.,n,,,,2,1,5,1,,,,,,,,,,,,,,,,,,,n,0.3161123999962001,14.330043300004036,None,14.330043300004036,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jun_16_1034,EventTask,2021.1.4,None,
Press the 'no' key.,n,,,,3,0,6,1,,,,,,,,,,,,,,,,,,,n,0.4918342000019038,14.697060400001646,None,14.697060400001646,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jun_16_1034,EventTask,2021.1.4,None,
Press the 'yes' key.,c,,,,3,1,7,0,,,,,,,,,,,,,,,,,,,c,0.3456402999945567,15.249258100004226,None,15.249258100004226,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jun_16_1034,EventTask,2021.1.4,None,
Press the 'yes' key.,c,,,,4,0,8,0,,,,,,,,,,,,,,,,,,,c,0.49118949999683537,15.62970530000166,None,15.62970530000166,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jun_16_1034,EventTask,2021.1.4,None,
