stimulus,corrAns,file,condition,block,stdRT_trials.thisRepN,stdRT_trials.thisTrialN,stdRT_trials.thisN,stdRT_trials.thisIndex,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,experiment_trials.thisRepN,experiment_trials.thisTrialN,experiment_trials.thisN,experiment_trials.thisIndex,breakloop.thisRepN,breakloop.thisTrialN,breakloop.thisN,breakloop.thisIndex,std_instructions.started,std_instructions.stopped,continue1.keys,continue1.rt,continue1.started,continue1.stopped,key_resp_stdRT.keys,key_resp_stdRT.rt,key_resp_stdRT.started,key_resp_stdRT.stopped,text.started,text.stopped,task_instructions.started,task_instructions.stopped,continue2.keys,continue2.rt,continue2.started,continue2.stopped,practice_block.started,practice_block.stopped,trial_instructions_practice.started,trial_instructions_practice.stopped,key_resp_practice.keys,key_resp_practice.corr,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,image_practice.started,image_practice.stopped,experiment_block.started,experiment_block.stopped,continue4.keys,continue4.rt,continue4.started,continue4.stopped,trial_instructions.started,trial_instructions.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,image.started,image.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,112.43683520000195,None,space,1.0382301999998163,112.43683520000195,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jun_16_1041,EventTask,2021.1.4,59.555998121041966,
Press the 'yes' key.,c,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,c,0.8138678000032087,113.6015711,None,113.6015711,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jun_16_1041,EventTask,2021.1.4,59.555998121041966,
Press the 'no' key.,n,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,n,0.3137521000026027,114.48598520000087,None,114.48598520000087,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jun_16_1041,EventTask,2021.1.4,59.555998121041966,
Press the 'no' key.,n,,,,1,0,2,1,,,,,,,,,,,,,,,,,,,n,0.3704364000004716,114.83522990000347,None,114.83522990000347,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jun_16_1041,EventTask,2021.1.4,59.555998121041966,
Press the 'yes' key.,c,,,,1,1,3,0,,,,,,,,,,,,,,,,,,,c,0.3423257000031299,115.25287240000034,None,115.25287240000034,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jun_16_1041,EventTask,2021.1.4,59.555998121041966,
Press the 'no' key.,n,,,,2,0,4,1,,,,,,,,,,,,,,,,,,,n,0.2706818000006024,115.65171689999988,None,115.65171689999988,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jun_16_1041,EventTask,2021.1.4,59.555998121041966,
Press the 'yes' key.,c,,,,2,1,5,0,,,,,,,,,,,,,,,,,,,c,0.3044759000040358,115.96746610000264,None,115.96746610000264,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jun_16_1041,EventTask,2021.1.4,59.555998121041966,
Press the 'yes' key.,c,,,,3,0,6,0,,,,,,,,,,,,,,,,,,,c,0.4001390999983414,116.3027979000035,None,116.3027979000035,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jun_16_1041,EventTask,2021.1.4,59.555998121041966,
Press the 'no' key.,n,,,,3,1,7,1,,,,,,,,,,,,,,,,,,,n,0.26414479999948526,116.73411070000293,None,116.73411070000293,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jun_16_1041,EventTask,2021.1.4,59.555998121041966,
Press the 'no' key.,n,,,,4,0,8,1,,,,,,,,,,,,,,,,,,,n,0.3680702000056044,117.0364594000057,None,117.0364594000057,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jun_16_1041,EventTask,2021.1.4,59.555998121041966,
Press the 'yes' key.,c,,,,4,1,9,0,,,,,,,,,,,,,,,,,,,c,0.3421865999989677,117.43580950000614,None,117.43580950000614,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jun_16_1041,EventTask,2021.1.4,59.555998121041966,
Press the 'yes' key.,c,,,,5,0,10,0,,,,,,,,,,,,,,,,,,,c,0.3412423000045237,117.81918530000257,None,117.81918530000257,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jun_16_1041,EventTask,2021.1.4,59.555998121041966,
Press the 'no' key.,n,,,,5,1,11,1,,,,,,,,,,,,,,,,,,,n,0.30858230000012554,118.2034083000035,None,118.2034083000035,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jun_16_1041,EventTask,2021.1.4,59.555998121041966,
Press the 'no' key.,n,,,,6,0,12,1,,,,,,,,,,,,,,,,,,,n,0.27997440000035567,118.55071240000689,None,118.55071240000689,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jun_16_1041,EventTask,2021.1.4,59.555998121041966,
