stimulus,corrAns,file,condition,block,stdRT_trials.thisRepN,stdRT_trials.thisTrialN,stdRT_trials.thisN,stdRT_trials.thisIndex,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,experiment_trials.thisRepN,experiment_trials.thisTrialN,experiment_trials.thisN,experiment_trials.thisIndex,std_instructions.started,std_instructions.stopped,continue1.keys,continue1.rt,continue1.started,continue1.stopped,key_resp_stdRT.keys,key_resp_stdRT.rt,key_resp_stdRT.started,key_resp_stdRT.stopped,text.started,text.stopped,task_instructions.started,task_instructions.stopped,continue2.keys,continue2.rt,continue2.started,continue2.stopped,practice_block.started,practice_block.stopped,trial_instructions_practice.started,trial_instructions_practice.stopped,key_resp_practice.keys,key_resp_practice.corr,key_resp_practice.rt,key_resp_practice.started,key_resp_practice.stopped,image_practice.started,image_practice.stopped,experiment_block.started,experiment_block.stopped,continue4.keys,continue4.rt,continue4.started,continue4.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,8.140044100000523,None,space,2.125163700002304,8.140044100000523,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jun_16_1042,EventTask,2021.1.4,59.939640781796534,
Press the 'no' key.,n,,,,0,0,0,1,,,,,,,,,,,,,,,n,1.2603698000020813,10.356372199996258,None,10.356372199996258,None,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jun_16_1042,EventTask,2021.1.4,59.939640781796534,
Press the 'yes' key.,c,,,,0,1,1,0,,,,,,,,,,,,,,,c,0.5711612000013702,11.69012279999879,None,11.69012279999879,None,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jun_16_1042,EventTask,2021.1.4,59.939640781796534,
Press the 'no' key.,n,,,,1,0,2,1,,,,,,,,,,,,,,,n,0.1949661000035121,12.321915100001206,None,12.321915100001206,None,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jun_16_1042,EventTask,2021.1.4,59.939640781796534,
Press the 'yes' key.,c,,,,1,1,3,0,,,,,,,,,,,,,,,c,0.2440234999958193,12.574262000001909,None,12.574262000001909,None,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jun_16_1042,EventTask,2021.1.4,59.939640781796534,
Press the 'yes' key.,c,,,,2,0,4,0,,,,,,,,,,,,,,,n,0.22455510000145296,12.856807999996818,None,12.856807999996818,None,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jun_16_1042,EventTask,2021.1.4,59.939640781796534,
Press the 'no' key.,n,,,,2,1,5,1,,,,,,,,,,,,,,,c,1.060292300004221,13.123362300000736,None,13.123362300000736,None,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jun_16_1042,EventTask,2021.1.4,59.939640781796534,
Press the 'yes' key.,c,,,,3,0,6,0,,,,,,,,,,,,,,,n,0.25778649999847403,14.221867100000964,None,14.221867100000964,None,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jun_16_1042,EventTask,2021.1.4,59.939640781796534,
Press the 'no' key.,n,,,,3,1,7,1,,,,,,,,,,,,,,,c,1.6182861999986926,14.540701699996134,None,14.540701699996134,None,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jun_16_1042,EventTask,2021.1.4,59.939640781796534,
Press the 'yes' key.,c,,,,4,0,8,0,,,,,,,,,,,,,,,n,0.2713500000027125,16.206683299998986,None,16.206683299998986,None,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jun_16_1042,EventTask,2021.1.4,59.939640781796534,
Press the 'no' key.,n,,,,4,1,9,1,,,,,,,,,,,,,,,n,0.3372412999960943,16.5232560000004,None,16.5232560000004,None,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jun_16_1042,EventTask,2021.1.4,59.939640781796534,
Press the 'yes' key.,c,,,,5,0,10,0,,,,,,,,,,,,,,,c,0.3686295999941649,16.905681500000355,None,16.905681500000355,None,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jun_16_1042,EventTask,2021.1.4,59.939640781796534,
Press the 'no' key.,n,,,,5,1,11,1,,,,,,,,,,,,,,,n,0.447113399997761,17.307065599998168,None,17.307065599998168,None,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jun_16_1042,EventTask,2021.1.4,59.939640781796534,
Press the 'yes' key.,c,,,,6,0,12,0,,,,,,,,,,,,,,,c,0.38718539999536006,17.788170799998625,None,17.788170799998625,None,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jun_16_1042,EventTask,2021.1.4,59.939640781796534,
Press the 'no' key.,n,,,,6,1,13,1,,,,,,,,,,,,,,,n,0.36025250000238884,18.22276889999921,None,18.22276889999921,None,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jun_16_1042,EventTask,2021.1.4,59.939640781796534,
Press the 'no' key.,n,,,,7,0,14,1,,,,,,,,,,,,,,,c,0.9606248999989475,18.605546400001913,None,18.605546400001913,None,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jun_16_1042,EventTask,2021.1.4,59.939640781796534,
Press the 'yes' key.,c,,,,7,1,15,0,,,,,,,,,,,,,,,n,0.5987501000054181,19.62354310000228,None,19.62354310000228,None,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jun_16_1042,EventTask,2021.1.4,59.939640781796534,
Press the 'no' key.,n,,,,8,0,16,1,,,,,,,,,,,,,,,c,0.41204190000280505,20.27139249999891,None,20.27139249999891,None,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jun_16_1042,EventTask,2021.1.4,59.939640781796534,
Press the 'yes' key.,c,,,,8,1,17,0,,,,,,,,,,,,,,,c,0.4202262000035262,20.72567759999947,None,20.72567759999947,None,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jun_16_1042,EventTask,2021.1.4,59.939640781796534,
Press the 'yes' key.,c,,,,9,0,18,0,,,,,,,,,,,,,,,c,0.45521369999914896,21.177817499999946,None,21.177817499999946,None,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jun_16_1042,EventTask,2021.1.4,59.939640781796534,
Press the 'no' key.,n,,,,9,1,19,1,,,,,,,,,,,,,,,n,0.4235855000006268,21.673357300001953,None,21.673357300001953,None,,,,,,,,,,,,,,,,,,,,,,,,,001,2021_Jun_16_1042,EventTask,2021.1.4,59.939640781796534,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.140837799997826,None,space,31.596769900002982,24.105976400001964,None,,,,,,,,,,,,,,,,,,,001,2021_Jun_16_1042,EventTask,2021.1.4,59.939640781796534,
boxer training.jpg,c,practice_images/boxer training.jpg,plausible,practice,,,,,0,0,0,10,,,,,,,,,,,,,,,,,,,,,,,55.73882919999596,None,58.751798999997845,None,c,1,0.2944649999990361,58.751798999997845,None,58.751798999997845,None,,,,,,,,001,2021_Jun_16_1042,EventTask,2021.1.4,59.939640781796534,
dog playing.jpg,c,practice_images/dog playing.jpg,plausible,practice,,,,,0,1,1,13,,,,,,,,,,,,,,,,,,,,,,,,,59.085812299999816,None,n,0,0.14366190000146162,59.085812299999816,None,59.085812299999816,None,,,,,,,,001,2021_Jun_16_1042,EventTask,2021.1.4,59.939640781796534,
woman vacuuming grass.jpg,n,practice_images/woman vacuuming grass.jpg,implausible,practice,,,,,0,2,2,9,,,,,,,,,,,,,,,,,,,,,,,,,59.26823729999887,None,c,0,0.15864670000155456,59.26823729999887,None,59.26823729999887,None,,,,,,,,001,2021_Jun_16_1042,EventTask,2021.1.4,59.939640781796534,
boss bably.jpg,n,practice_images/boss baby.jpg,implausible,practice,,,,,0,3,3,6,,,,,,,,,,,,,,,,,,,,,,,,,59.46848289999616,None,n,1,0.09340720000182046,59.46848289999616,None,59.46848289999616,None,,,,,,,,001,2021_Jun_16_1042,EventTask,2021.1.4,59.939640781796534,
bikini woman gun.jpg,n,practice_images/bikini woman gun.jpg,implausible,practice,,,,,0,4,4,1,,,,,,,,,,,,,,,,,,,,,,,,,59.60265079999954,None,n,1,0.214135800000804,59.60265079999954,None,59.60265079999954,None,,,,,,,,001,2021_Jun_16_1042,EventTask,2021.1.4,59.939640781796534,
sawing apple.jpg,n,practice_images/sawing apple.jpg,implausible,practice,,,,,0,5,5,2,,,,,,,,,,,,,,,,,,,,,,,,,59.85173550000036,None,c,0,0.26714699999865843,59.85173550000036,None,59.85173550000036,None,,,,,,,,001,2021_Jun_16_1042,EventTask,2021.1.4,59.939640781796534,
dog pilot.jpg,n,practice_images/dog pilot.jpg,implausible,practice,,,,,0,6,6,3,,,,,,,,,,,,,,,,,,,,,,,,,60.151546100001724,None,c,0,0.22062480000022333,60.151546100001724,None,60.151546100001724,None,,,,,,,,001,2021_Jun_16_1042,EventTask,2021.1.4,59.939640781796534,
parking lot.jpg,c,practice_images/parking lot.jpg,plausible,practice,,,,,0,7,7,14,,,,,,,,,,,,,,,,,,,,,,,,,60.40301059999911,None,c,1,0.20747259999916423,60.40301059999911,None,60.40301059999911,None,,,,,,,,001,2021_Jun_16_1042,EventTask,2021.1.4,59.939640781796534,
looking at xray.jpg,c,practice_images/looking at xray.jpg,plausible,practice,,,,,0,8,8,17,,,,,,,,,,,,,,,,,,,,,,,,,60.65298669999902,None,c,1,0.23588789999485016,60.65298669999902,None,60.65298669999902,None,,,,,,,,001,2021_Jun_16_1042,EventTask,2021.1.4,59.939640781796534,
kids playing.jpg,c,practice_images/kids playing.jpg,plausible,practice,,,,,0,9,9,16,,,,,,,,,,,,,,,,,,,,,,,,,60.93436519999523,None,c,1,0.1527538000009372,60.93436519999523,None,60.93436519999523,None,,,,,,,,001,2021_Jun_16_1042,EventTask,2021.1.4,59.939640781796534,
girl and woman_patio.jpg,c,practice_images/girl and woman_patio.jpg,plausible,practice,,,,,0,10,10,11,,,,,,,,,,,,,,,,,,,,,,,,,61.11958230000164,None,c,1,0.1670146999967983,61.11958230000164,None,61.11958230000164,None,,,,,,,,001,2021_Jun_16_1042,EventTask,2021.1.4,59.939640781796534,
man running.jpg,c,practice_images/man running.jpg,plausible,practice,,,,,0,11,11,18,,,,,,,,,,,,,,,,,,,,,,,,,61.31915409999783,None,c,1,0.2687736000007135,61.31915409999783,None,61.31915409999783,None,,,,,,,,001,2021_Jun_16_1042,EventTask,2021.1.4,59.939640781796534,
mowing the lawn.jpg,c,practice_images/mowing the lawn.jpg,plausible,practice,,,,,0,12,12,19,,,,,,,,,,,,,,,,,,,,,,,,,61.636121299998194,None,c,1,0.64737530000275,61.636121299998194,None,61.636121299998194,None,,,,,,,,001,2021_Jun_16_1042,EventTask,2021.1.4,59.939640781796534,
family cooking.jpg,c,practice_images/family cooking.jpg,plausible,practice,,,,,0,13,13,15,,,,,,,,,,,,,,,,,,,,,,,,,62.30409796000167,None,None,0,,62.30409796000167,None,62.30409796000167,None,,,,,,,,001,2021_Jun_16_1042,EventTask,2021.1.4,59.939640781796534,
buisness man working.jpg,c,practice_images/buisness man working.jpg,plausible,practice,,,,,0,14,14,12,,,,,,,,,,,,,,,,,,,,,,,,,62.320583620000974,None,None,0,,62.320583620000974,None,62.320583620000974,None,,,,,,,,001,2021_Jun_16_1042,EventTask,2021.1.4,59.939640781796534,
man with paper in mouth.jpg,n,practice_images/man with paper in mouth.jpg,implausible,practice,,,,,0,15,15,4,,,,,,,,,,,,,,,,,,,,,,,,,62.320583620000974,None,None,0,,62.320583620000974,None,62.320583620000974,None,,,,,,,,001,2021_Jun_16_1042,EventTask,2021.1.4,59.939640781796534,
balancing on umbrella.jpg,n,practice_images/balancing on umbrella.jpg,implausible,practice,,,,,0,16,16,0,,,,,,,,,,,,,,,,,,,,,,,,,62.337069280000286,None,None,0,,62.337069280000286,None,62.337069280000286,None,,,,,,,,001,2021_Jun_16_1042,EventTask,2021.1.4,59.939640781796534,
giant coffee.jpg,n,practice_images/giant coffee.jpg,implausible,practice,,,,,0,17,17,8,,,,,,,,,,,,,,,,,,,,,,,,,62.337069280000286,None,None,0,,62.337069280000286,None,62.337069280000286,None,,,,,,,,001,2021_Jun_16_1042,EventTask,2021.1.4,59.939640781796534,
throwing noodles.jpg,n,practice_images/throwing noodles.jpg,implausible,practice,,,,,0,18,18,5,,,,,,,,,,,,,,,,,,,,,,,,,62.35355493999959,None,None,0,,62.35355493999959,None,62.35355493999959,None,,,,,,,,001,2021_Jun_16_1042,EventTask,2021.1.4,59.939640781796534,
underwater skateboard.jpg,n,practice_images/underwater skateboard.jpg,implausible,practice,,,,,0,19,19,7,,,,,,,,,,,,,,,,,,,,,,,,,62.35355493999959,None,None,0,,62.35355493999959,None,62.35355493999959,None,,,,,,,,001,2021_Jun_16_1042,EventTask,2021.1.4,59.939640781796534,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.369307499997376,None,space,2.88986560000194,64.35304599999654,None,,001,2021_Jun_16_1042,EventTask,2021.1.4,59.939640781796534,
